Number of processors:	8
Transmitters per processor:	128
Processes per node:	4
TIME:1350601083.18883991:	Transmitter data send (5)	0.00000400 sec
TIME:1350601083.20608807:	Calculation and result dump (3)	8.24799700 sec
TIME:1350601083.20609999:	Transmitter data send (3)	0.00000400 sec
TIME:1350601083.38127398:	Calculation and result dump (7)	8.22332200 sec
TIME:1350601083.38128710:	Transmitter data send (7)	0.00000400 sec
TIME:1350601084.25479102:	Calculation and result dump (6)	8.26708200 sec
TIME:1350601084.25480390:	Transmitter data send (6)	0.00000400 sec
TIME:1350601089.06253290:	Calculation and result dump (4)	8.15668000 sec
TIME:1350601089.06254911:	Transmitter data send (4)	0.00000500 sec
TIME:1350601090.82383394:	Calculation and result dump (0)	8.24305000 sec
TIME:1350601090.82384801:	Transmitter data send (0)	0.00000500 sec
TIME:1350601091.04455805:	Calculation and result dump (5)	7.85571400 sec
TIME:1350601091.04457211:	Transmitter data send (5)	0.00000500 sec
TIME:1350601091.07341290:	Calculation and result dump (1)	8.22140400 sec
TIME:1350601091.07342696:	Transmitter data send (1)	0.00000500 sec
TIME:1350601091.34062409:	Calculation and result dump (2)	8.21512800 sec
TIME:1350601091.34063697:	Transmitter data send (2)	0.00000500 sec
TIME:1350601091.43025708:	Calculation and result dump (3)	8.22415300 sec
TIME:1350601091.43026996:	Transmitter data send (3)	0.00000500 sec
TIME:1350601091.62173891:	Calculation and result dump (7)	8.24044800 sec
TIME:1350601091.62175298:	Transmitter data send (7)	0.00000500 sec
TIME:1350601092.54000998:	Calculation and result dump (6)	8.28520200 sec
TIME:1350601092.54002500:	Transmitter data send (6)	0.00000500 sec
TIME:1350601097.22362089:	Calculation and result dump (4)	8.16106800 sec
TIME:1350601097.22363400:	Transmitter data send (4)	0.00000400 sec
TIME:1350601099.07893896:	Calculation and result dump (0)	8.25508700 sec
TIME:1350601099.07895207:	Transmitter data send (0)	0.00000400 sec
TIME:1350601099.27286696:	Calculation and result dump (5)	8.22829100 sec
TIME:1350601099.27288008:	Transmitter data send (5)	0.00000400 sec
TIME:1350601099.29731989:	Calculation and result dump (1)	8.22388900 sec
TIME:1350601099.29733300:	Transmitter data send (1)	0.00000400 sec
TIME:1350601099.47349501:	Calculation and result dump (7)	7.85173800 sec
TIME:1350601099.47350788:	Transmitter data send (7)	0.00000400 sec
TIME:1350601099.55571795:	Calculation and result dump (2)	8.21507700 sec
TIME:1350601099.55573106:	Transmitter data send (2)	0.00000400 sec
TIME:1350601099.64982796:	Calculation and result dump (3)	8.21955400 sec
TIME:1350601099.64984107:	Transmitter data send (3)	0.00000400 sec
TIME:1350601100.79628301:	Calculation and result dump (6)	8.25625400 sec
TIME:1350601100.79629588:	Transmitter data send (6)	0.00000400 sec
TIME:1350601105.40170407:	Calculation and result dump (4)	8.17806600 sec
TIME:1350601105.40171790:	Transmitter data send (4)	0.00000400 sec
TIME:1350601107.35334611:	Calculation and result dump (0)	8.27439000 sec
TIME:1350601107.35335994:	Transmitter data send (0)	0.00000400 sec
TIME:1350601107.49569988:	Calculation and result dump (5)	8.22281600 sec
TIME:1350601107.49571395:	Transmitter data send (5)	0.00000500 sec
TIME:1350601107.53351307:	Calculation and result dump (1)	8.23617600 sec
TIME:1350601107.53352594:	Transmitter data send (1)	0.00000400 sec
TIME:1350601107.69029403:	Calculation and result dump (7)	8.21678200 sec
TIME:1350601107.69030690:	Transmitter data send (7)	0.00000500 sec
TIME:1350601107.77250791:	Calculation and result dump (2)	8.21677300 sec
TIME:1350601107.77252197:	Transmitter data send (2)	0.00000500 sec
TIME:1350601107.86787200:	Calculation and result dump (3)	8.21802700 sec
TIME:1350601107.86788511:	Transmitter data send (3)	0.00000500 sec
TIME:1350601109.05140591:	Calculation and result dump (6)	8.25510600 sec
TIME:1350601109.05141902:	Transmitter data send (6)	0.00000400 sec
TIME:1350601113.19147491:	Calculation and result dump (4)	7.78975200 sec
TIME:1350601113.19148803:	Transmitter data send (4)	0.00000400 sec
TIME:1350601115.59623289:	Calculation and result dump (0)	8.24286800 sec
TIME:1350601115.59624600:	Transmitter data send (0)	0.00000400 sec
TIME:1350601115.74112391:	Calculation and result dump (5)	8.24540600 sec
TIME:1350601115.74113703:	Transmitter data send (5)	0.00000400 sec
TIME:1350601115.78558898:	Calculation and result dump (1)	8.25205800 sec
TIME:1350601115.78560209:	Transmitter data send (1)	0.00000400 sec
TIME:1350601115.91367006:	Calculation and result dump (7)	8.22335900 sec
TIME:1350601115.91368198:	Transmitter data send (7)	0.00000400 sec
TIME:1350601116.00282598:	Calculation and result dump (2)	8.23030000 sec
TIME:1350601116.00283790:	Transmitter data send (2)	0.00000400 sec
TIME:1350601116.09102798:	Calculation and result dump (3)	8.22313900 sec
TIME:1350601116.09104109:	Transmitter data send (3)	0.00000400 sec
TIME:1350601117.30986691:	Calculation and result dump (6)	8.25844300 sec
TIME:1350601117.30988002:	Transmitter data send (6)	0.00000400 sec
TIME:1350601121.34784603:	Calculation and result dump (4)	8.15635300 sec
TIME:1350601121.34786105:	Transmitter data send (4)	0.00000500 sec
TIME:1350601123.59878492:	Calculation and result dump (5)	7.85764400 sec
TIME:1350601123.59879994:	Transmitter data send (5)	0.00000500 sec
TIME:1350601123.83472800:	Calculation and result dump (0)	8.23847800 sec
TIME:1350601123.83474207:	Transmitter data send (0)	0.00000500 sec
TIME:1350601124.01068711:	Calculation and result dump (1)	8.22508100 sec
TIME:1350601124.01069999:	Transmitter data send (1)	0.00000500 sec
TIME:1350601124.15544295:	Calculation and result dump (7)	8.24175700 sec
TIME:1350601124.15545607:	Transmitter data send (7)	0.00000400 sec
TIME:1350601124.25133109:	Calculation and result dump (2)	8.24848900 sec
TIME:1350601124.25134397:	Transmitter data send (2)	0.00000400 sec
TIME:1350601124.31543708:	Calculation and result dump (3)	8.22439200 sec
TIME:1350601124.31545091:	Transmitter data send (3)	0.00000500 sec
TIME:1350601125.58048201:	Calculation and result dump (6)	8.27059800 sec
TIME:1350601125.58049512:	Transmitter data send (6)	0.00000400 sec
TIME:1350601129.50482392:	Calculation and result dump (4)	8.15695900 sec
TIME:1350601129.50483704:	Transmitter data send (4)	0.00000400 sec
TIME:1350601131.82749891:	Calculation and result dump (5)	8.22869500 sec
TIME:1350601131.82751203:	Transmitter data send (5)	0.00000400 sec
TIME:1350601132.00555897:	Calculation and result dump (7)	7.85009900 sec
TIME:1350601132.00557208:	Transmitter data send (7)	0.00000400 sec
TIME:1350601132.07398796:	Calculation and result dump (0)	8.23924200 sec
TIME:1350601132.07399988:	Transmitter data send (0)	0.00000400 sec
TIME:1350601132.23101807:	Calculation and result dump (1)	8.22031400 sec
TIME:1350601132.23103094:	Transmitter data send (1)	0.00000400 sec
TIME:1350601132.46983099:	Calculation and result dump (2)	8.21848300 sec
TIME:1350601132.46984410:	Transmitter data send (2)	0.00000400 sec
TIME:1350601132.55667710:	Calculation and result dump (3)	8.24122200 sec
TIME:1350601132.55668998:	Transmitter data send (3)	0.00000400 sec
TIME:1350601133.77673697:	Calculation and result dump (6)	8.19623800 sec
TIME:1350601133.77675009:	Transmitter data send (6)	0.00000400 sec
TIME:1350601137.66777611:	Calculation and result dump (4)	8.16293400 sec
TIME:1350601137.66779208:	Transmitter data send (4)	0.00000600 sec
TIME:1350601140.06524110:	Calculation and result dump (5)	8.23772500 sec
TIME:1350601140.06525612:	Transmitter data send (5)	0.00000500 sec
TIME:1350601140.22430992:	Calculation and result dump (7)	8.21873400 sec
TIME:1350601140.22432303:	Transmitter data send (7)	0.00000500 sec
TIME:1350601140.31762695:	Calculation and result dump (0)	8.24362200 sec
TIME:1350601140.31764007:	Transmitter data send (0)	0.00000400 sec
TIME:1350601140.40095210:	Calculation and result dump (3)	7.84425800 sec
TIME:1350601140.40096593:	Transmitter data send (3)	0.00000500 sec
TIME:1350601140.45486808:	Calculation and result dump (1)	8.22383300 sec
TIME:1350601140.45488191:	Transmitter data send (1)	0.00000500 sec
TIME:1350601140.69170403:	Calculation and result dump (2)	8.22185600 sec
TIME:1350601140.69171691:	Transmitter data send (2)	0.00000500 sec
TIME:1350601142.03305793:	Calculation and result dump (6)	8.25630300 sec
TIME:1350601142.03307199:	Transmitter data send (6)	0.00000500 sec
TIME:1350601145.84873009:	Calculation and result dump (4)	8.18093400 sec
TIME:1350601145.84874392:	Transmitter data send (4)	0.00000500 sec
TIME:1350601148.32026792:	Calculation and result dump (5)	8.25500800 sec
TIME:1350601148.32028198:	Transmitter data send (5)	0.00000400 sec
TIME:1350601148.44515204:	Calculation and result dump (7)	8.22082500 sec
TIME:1350601148.44516397:	Transmitter data send (7)	0.00000400 sec
TIME:1350601148.56993699:	Calculation and result dump (0)	8.25229300 sec
TIME:1350601148.56994891:	Transmitter data send (0)	0.00000400 sec
TIME:1350601148.62166691:	Calculation and result dump (3)	8.22069700 sec
